"publisher";"date";"impressions";"pageviews";"likes";"followers";"comments";"in_app_pageviews";"shares";"register_followers"
"NBA Analysis Network";"2025-10-30";89353;11846;89;28;27;11855;18;0
"NFL Analysis Network";"2025-10-30";8;2;0;0;0;0;0;0
"Alternet";"2025-10-30";1122983;214448;7882;213;4217;213099;2890;0
"Stocktwits";"2025-10-30";69318;6884;592;11;125;6774;104;0
"On3.com";"2025-10-30";736922;35339;576;56;84;33195;185;0
"East Idaho News";"2025-10-30";68;14;0;1;0;10;2;0
"Check Your Fact";"2025-10-30";0;0;0;0;0;0;0;0
"DPA";"2025-10-30";50274;4122;702;6;103;3966;42;0
"Raw Story";"2025-10-30";2096618;430154;13420;225;6587;426555;4111;0
"Fangoria";"2025-10-30";108525;413;9;2;0;664;2;0
"TAG24";"2025-10-31";244793;26534;2129;84;1365;26256;195;0
"Bloody Elbow";"2025-10-31";27;8;0;0;0;3;0;0
"Cointelegraph";"2025-10-31";31330;1409;154;3;27;1370;28;0
"France24";"2025-10-31";333795;2292;55;4;40;2444;11;0
"NBA Analysis Network";"2025-10-31";142899;15033;90;22;24;14981;18;0
"NFL Analysis Network";"2025-10-31";2;1;0;0;0;0;0;0
"Alternet";"2025-10-31";968369;175578;9051;245;3646;173186;2349;0
"Stocktwits";"2025-10-31";139935;27236;793;21;340;27066;95;0
"On3.com";"2025-10-31";819493;37182;440;47;124;34295;280;0
"East Idaho News";"2025-10-31";13136;1091;0;5;0;1039;8;0
"Check Your Fact";"2025-10-31";0;0;0;0;0;0;0;0
"DPA";"2025-10-31";33514;1970;1130;2;46;1848;32;0
"Raw Story";"2025-10-31";1899117;356804;12217;164;5453;353218;3990;0
"Fangoria";"2025-10-31";2596;81;7;0;1;71;2;0
"TAG24";"2025-11-01";229538;25274;2142;98;905;25053;203;0
"Bloody Elbow";"2025-11-01";0;0;0;0;0;0;0;0
"Cointelegraph";"2025-11-01";112727;2964;74;9;20;3032;41;0
"France24";"2025-11-01";164815;2534;186;8;32;3056;22;0
"NBA Analysis Network";"2025-11-01";116182;14944;100;29;47;14924;33;0
"NFL Analysis Network";"2025-11-01";4;1;0;0;0;0;0;0
"Alternet";"2025-11-01";564844;99178;5340;136;2052;97689;1174;0
"Stocktwits";"2025-11-01";41394;5986;809;9;121;5949;68;0
"On3.com";"2025-11-01";720189;32288;482;20;155;30182;230;0
"East Idaho News";"2025-11-01";747;69;0;0;1;58;0;0
"Check Your Fact";"2025-11-01";0;1;0;0;0;1;0;0
"DPA";"2025-11-01";30187;1344;910;0;57;1250;15;0
"Raw Story";"2025-11-01";1968567;365033;16229;127;7737;361135;4076;0
"Fangoria";"2025-11-01";2045;51;10;1;0;53;2;0
"TAG24";"2025-11-02";182272;16003;2704;68;1014;15808;196;0
"Cointelegraph";"2025-11-02";15366;772;42;3;24;709;11;0
"France24";"2025-11-02";579179;4199;214;16;24;7570;32;0
"NBA Analysis Network";"2025-11-02";105968;11945;87;25;48;11915;22;0
"NFL Analysis Network";"2025-11-02";4;1;0;0;0;0;0;0
"Alternet";"2025-11-02";566839;85883;5713;106;1983;85345;1126;0
"Stocktwits";"2025-11-02";33016;4382;420;9;55;4315;34;0
"On3.com";"2025-11-02";1049714;72886;806;69;311;69410;302;0
"East Idaho News";"2025-11-02";281;36;0;0;0;22;0;0
"Check Your Fact";"2025-11-02";0;0;0;0;0;0;0;0
"DPA";"2025-11-02";65448;4859;1904;15;182;4672;89;0
"Raw Story";"2025-11-02";4026803;580284;14034;229;12620;567781;6259;0
"Fangoria";"2025-11-02";1269;16;3;0;0;14;0;0
"TAG24";"2025-11-03";138010;11583;1445;66;443;11417;85;0
"Bloody Elbow";"2025-11-03";39;6;0;0;0;4;1;0
"Cointelegraph";"2025-11-03";7185;314;20;1;6;301;12;0
"France24";"2025-11-03";353550;2954;184;7;24;4801;16;0
"NBA Analysis Network";"2025-11-03";0;0;0;0;0;0;0;0
"NFL Analysis Network";"2025-11-03";2;1;0;0;0;0;0;0
"Alternet";"2025-11-03";985432;171137;7972;138;2876;168157;1990;0
"Stocktwits";"2025-11-03";42263;1551;322;1;36;1437;42;0
"On3.com";"2025-11-03";1601865;141049;1070;137;416;135969;539;0
"East Idaho News";"2025-11-03";252;17;0;0;0;13;0;0
"Check Your Fact";"2025-11-03";0;0;0;0;0;0;0;0
"DPA";"2025-11-03";99433;3505;1865;15;336;3297;81;0
"Raw Story";"2025-11-03";4576740;705719;14617;378;9984;694117;6183;0
"Fangoria";"2025-11-03";9499;61;6;1;0;53;1;0
"HITC";"2025-11-04";0;0;0;0;0;0;0;0
"TAG24";"2025-11-04";300834;38380;1981;125;367;38244;120;0
"Bloody Elbow";"2025-11-04";25;8;0;0;0;4;0;0
"Cointelegraph";"2025-11-04";5846;232;16;0;9;200;11;0
"France24";"2025-11-04";397059;1883;234;3;16;2499;19;0
"NBA Analysis Network";"2025-11-04";73218;9259;44;18;22;9208;15;0
"NFL Analysis Network";"2025-11-04";2;1;0;0;0;0;0;0
"Alternet";"2025-11-04";1141209;169085;8688;172;5925;166815;2275;0
"Stocktwits";"2025-11-04";127246;19960;869;19;97;19762;163;0
"On3.com";"2025-11-04";996795;80399;666;81;160;75479;266;0
"East Idaho News";"2025-11-04";301;31;1;0;0;26;0;0
"Check Your Fact";"2025-11-04";0;0;0;0;0;0;0;0
"DPA";"2025-11-04";72202;4047;2031;13;208;3838;134;0
"Raw Story";"2025-11-04";4277808;624670;13835;384;7940;603203;6238;0
"Fangoria";"2025-11-04";5228;56;21;1;0;47;2;0
"HITC";"2025-11-05";0;0;0;0;0;0;0;0
"TAG24";"2025-11-05";357074;35831;2592;96;391;35582;144;0
"Bloody Elbow";"2025-11-05";25;11;0;0;0;6;0;0
"Cointelegraph";"2025-11-05";2606;148;3;2;5;115;5;0
"France24";"2025-11-05";41430;1658;442;14;67;1615;16;0
"NBA Analysis Network";"2025-11-05";59166;6586;59;17;17;6627;12;0
"NFL Analysis Network";"2025-11-05";2;1;0;0;0;0;0;0
"Alternet";"2025-11-05";1812979;309378;12896;368;7042;306082;3845;0
"Stocktwits";"2025-11-05";285100;31970;584;27;123;31290;368;0
"On3.com";"2025-11-05";713541;62403;612;45;114;58644;236;0
"East Idaho News";"2025-11-05";157;16;1;0;0;11;0;0
"Check Your Fact";"2025-11-05";0;0;0;0;0;0;0;0
"DPA";"2025-11-05";76299;7446;1523;25;87;7171;109;0
"Raw Story";"2025-11-05";4514976;559666;12403;291;6995;549964;3851;0
"Fangoria";"2025-11-05";11435;67;15;0;1;74;0;0
"HITC";"2025-11-06";0;0;0;0;0;0;0;0
"TAG24";"2025-11-06";309509;36068;1465;99;547;35831;168;0
"Bloody Elbow";"2025-11-06";99055;6720;74;9;47;6700;10;0
"Cointelegraph";"2025-11-06";1087;90;1;1;0;53;0;0
"France24";"2025-11-06";97108;1528;148;6;24;1513;16;0
"NBA Analysis Network";"2025-11-06";75537;7770;62;21;24;7766;24;0
"NFL Analysis Network";"2025-11-06";1;0;0;0;0;0;0;0
"Alternet";"2025-11-06";871411;115847;6501;129;2384;113514;1778;0
"Stocktwits";"2025-11-06";78701;6698;275;9;22;6083;55;0
"On3.com";"2025-11-06";663144;56150;636;71;134;51867;340;0
"East Idaho News";"2025-11-06";33;11;0;0;0;3;0;0
"Check Your Fact";"2025-11-06";0;0;0;0;0;0;0;0
"DPA";"2025-11-06";65383;5280;1190;20;46;5072;82;0
"Raw Story";"2025-11-06";3011828;529649;16514;211;6903;522947;3973;0
"Fangoria";"2025-11-06";9895;304;16;1;2;306;3;0
"HITC";"2025-11-07";0;0;0;0;0;0;0;0
"TAG24";"2025-11-07";207286;27452;1423;81;354;27036;195;0
"Bloody Elbow";"2025-11-07";162582;12550;146;23;103;12441;30;0
"Cointelegraph";"2025-11-07";8649;706;21;3;8;645;4;0
"France24";"2025-11-07";116092;1560;54;7;5;2738;14;0
"NBA Analysis Network";"2025-11-07";58679;6111;50;9;14;6098;8;0
"NFL Analysis Network";"2025-11-07";8;2;0;0;0;0;0;0
"Alternet";"2025-11-07";759758;135403;5834;146;2636;134670;1649;0
"Stocktwits";"2025-11-07";98984;17280;861;21;334;17153;167;0
"On3.com";"2025-11-07";1336793;61109;656;46;129;57773;338;0
"East Idaho News";"2025-11-07";18;6;0;0;0;0;0;0
"Check Your Fact";"2025-11-07";1;0;0;0;0;0;0;0
"DPA";"2025-11-07";117895;12559;1011;34;89;12311;132;0
"Raw Story";"2025-11-07";2325857;417502;13385;156;5645;412372;3301;0
"Fangoria";"2025-11-07";3997;52;3;0;0;47;0;0
"HITC";"2025-11-08";0;0;0;0;0;0;0;0
"TAG24";"2025-11-08";219664;29866;1622;82;217;29469;107;0
"Bloody Elbow";"2025-11-08";886239;45582;312;109;99;45122;198;0
"Cointelegraph";"2025-11-08";8717;480;13;5;2;439;9;0
"France24";"2025-11-08";77361;1390;49;1;6;1397;6;0
"NBA Analysis Network";"2025-11-08";116608;11015;124;30;71;10969;37;0
"NFL Analysis Network";"2025-11-08";1;2;0;0;0;1;0;0
"Alternet";"2025-11-08";734461;130120;5656;118;1894;128465;1390;0
"Stocktwits";"2025-11-08";57032;8301;444;8;158;8102;91;0
"On3.com";"2025-11-08";1008532;60384;677;54;166;56749;273;0
"East Idaho News";"2025-11-08";21;7;0;0;0;0;0;0
"Check Your Fact";"2025-11-08";1;0;0;0;0;0;0;0
"DPA";"2025-11-08";59837;4823;969;20;71;4551;48;0
"Raw Story";"2025-11-08";1861359;345819;13617;143;5999;340912;3293;0
"Fangoria";"2025-11-08";1780;85;4;1;0;71;1;0
"HITC";"2025-11-09";0;0;0;0;0;0;0;0
"TAG24";"2025-11-09";314331;36164;2299;118;467;35745;203;0
"Bloody Elbow";"2025-11-09";771036;55865;341;117;108;53953;147;0
"Cointelegraph";"2025-11-09";19034;897;13;5;7;875;9;0
"France24";"2025-11-09";390953;2384;87;10;11;2974;13;0
"NBA Analysis Network";"2025-11-09";169218;14107;90;24;33;14021;34;0
"NFL Analysis Network";"2025-11-09";0;0;0;0;0;0;0;0
"Alternet";"2025-11-09";1865133;167482;6275;241;4274;166476;2514;0
"Stocktwits";"2025-11-09";56447;6329;353;10;75;6179;61;0
"On3.com";"2025-11-09";912954;54396;584;29;124;51472;314;0
"East Idaho News";"2025-11-09";47865;1828;22;7;105;1845;29;0
"Check Your Fact";"2025-11-09";0;0;0;0;0;0;0;0
"DPA";"2025-11-09";2006321;94765;1787;411;1573;94482;1531;0
"Raw Story";"2025-11-09";3421957;591564;13737;372;10359;586436;6182;0
"Fangoria";"2025-11-09";5793;18;1;0;0;9;0;0
"HITC";"2025-11-10";0;0;0;0;0;0;0;0
"TAG24";"2025-11-10";254579;23147;1608;81;534;22897;194;0
"Bloody Elbow";"2025-11-10";230132;25142;159;58;36;24659;41;0
"Cointelegraph";"2025-11-10";9988;568;16;2;2;531;15;0
"France24";"2025-11-10";140400;1639;194;7;21;1644;17;0
"NBA Analysis Network";"2025-11-10";84563;10721;77;20;25;9238;15;0
"NFL Analysis Network";"2025-11-10";2;0;0;0;0;0;0;0
"Alternet";"2025-11-10";800011;125349;2745;109;2862;122043;1377;0
"Stocktwits";"2025-11-10";477402;48467;719;61;681;48093;262;0
"On3.com";"2025-11-10";702456;42686;522;54;72;40425;201;0
"East Idaho News";"2025-11-10";12679;443;1;0;27;414;3;0
"Check Your Fact";"2025-11-10";0;0;0;0;0;0;0;0
"DPA";"2025-11-10";4948427;221402;2024;744;2211;211379;2959;0
"Raw Story";"2025-11-10";3894458;498108;9999;248;7410;491262;4745;0
"Fangoria";"2025-11-10";16066;133;5;0;2;136;1;0
"HITC";"2025-11-11";0;0;0;0;0;0;0;0
"TAG24";"2025-11-11";224224;23672;1236;79;248;23527;95;0
"Bloody Elbow";"2025-11-11";134036;11149;107;30;24;10995;34;0
"Cointelegraph";"2025-11-11";17834;586;21;2;3;545;7;0
"France24";"2025-11-11";2128293;71585;633;93;52;71531;244;0
"NBA Analysis Network";"2025-11-11";81863;9386;63;9;25;9405;11;0
"NFL Analysis Network";"2025-11-11";5;1;0;0;0;0;0;0
"Alternet";"2025-11-11";417135;101292;2036;74;885;100666;475;0
"Stocktwits";"2025-11-11";401095;33733;450;46;324;32738;183;0
"On3.com";"2025-11-11";448485;26405;376;26;57;24375;156;0
"Check Your Fact";"2025-11-11";0;0;0;0;0;0;0;0
"DPA";"2025-11-11";841822;61011;1108;191;838;57193;726;0
"Raw Story";"2025-11-11";4504238;730507;14110;252;7390;719205;5376;0
"Fangoria";"2025-11-11";9227;109;4;3;3;96;4;0
"HITC";"2025-11-12";0;0;0;0;0;0;0;0
"TAG24";"2025-11-12";238991;22851;1862;97;553;22632;195;0
"Bloody Elbow";"2025-11-12";129028;12921;100;29;33;12905;20;0
"Cointelegraph";"2025-11-12";18878;1336;24;8;6;1310;19;0
"France24";"2025-11-12";111352;6873;205;8;29;6628;28;0
"NBA Analysis Network";"2025-11-12";114326;11063;68;14;29;11042;19;0
"NFL Analysis Network";"2025-11-12";1;0;0;0;0;1;0;0
"Alternet";"2025-11-12";163614;33055;772;24;247;32725;169;0
"Stocktwits";"2025-11-12";248173;22499;547;45;287;21972;264;0
"On3.com";"2025-11-12";553564;32296;549;39;109;30502;226;0
"Check Your Fact";"2025-11-12";2;0;0;0;0;0;0;0
"DPA";"2025-11-12";78281;7861;1110;53;160;7369;97;0
"Raw Story";"2025-11-12";4116797;573768;16803;311;6663;561996;4460;0
"Fangoria";"2025-11-12";14072;812;66;15;22;799;27;0
"HITC";"2025-11-13";0;0;0;0;0;0;0;0
"TAG24";"2025-11-13";295632;30925;1337;97;650;30746;165;0
"Bloody Elbow";"2025-11-13";183892;15252;127;32;44;15260;34;0
"Cointelegraph";"2025-11-13";14038;828;33;3;6;792;22;0
"France24";"2025-11-13";338699;2982;89;3;7;3774;24;0
"NBA Analysis Network";"2025-11-13";96914;11320;90;24;24;11307;17;0
"NFL Analysis Network";"2025-11-13";2;0;0;0;0;1;0;0
"Alternet";"2025-11-13";69777;15117;326;13;110;14993;60;0
"Stocktwits";"2025-11-13";80743;7545;222;6;108;7393;135;0
"On3.com";"2025-11-13";561985;28720;529;49;137;27676;231;0
"East Idaho News";"2025-11-13";11;7;0;0;1;2;0;0
"Check Your Fact";"2025-11-13";0;0;0;0;0;0;0;0
"DPA";"2025-11-13";33027;2245;609;4;51;2001;32;0
"Raw Story";"2025-11-13";4110515;625689;17954;271;8285;620548;4947;0
"Fangoria";"2025-11-13";12737;697;52;10;19;689;12;0
"HITC";"2025-11-14";0;0;0;0;0;0;0;0
"TAG24";"2025-11-14";173194;16279;1178;60;416;16164;89;0
"Bloody Elbow";"2025-11-14";185260;14812;111;30;47;14669;30;0
"Cointelegraph";"2025-11-14";11989;844;11;3;11;819;13;0
"France24";"2025-11-14";341677;6016;175;9;8;9064;34;0
"NBA Analysis Network";"2025-11-14";50599;6175;45;12;30;6205;11;0
"NFL Analysis Network";"2025-11-14";1;0;0;0;0;0;0;0
"Alternet";"2025-11-14";18888;3869;137;2;41;3699;32;0
"Stocktwits";"2025-11-14";52777;3646;146;11;37;3536;64;0
"On3.com";"2025-11-14";625454;40232;516;49;108;39005;254;0
"East Idaho News";"2025-11-14";7;2;0;0;0;0;0;0
"Check Your Fact";"2025-11-14";0;0;0;0;0;0;0;0
"DPA";"2025-11-14";33675;1789;787;3;61;1667;32;0
"Raw Story";"2025-11-14";3490490;643810;20529;371;9845;632875;6311;0
"Fangoria";"2025-11-14";6769;343;29;2;25;339;3;0
"HITC";"2025-11-15";0;0;0;0;0;0;0;0
"TAG24";"2025-11-15";142071;16860;1404;38;292;16744;73;0
"Bloody Elbow";"2025-11-15";234588;19671;180;46;51;19609;19;0
"Cointelegraph";"2025-11-15";0;0;0;0;0;0;0;0
"France24";"2025-11-15";113055;3385;121;6;11;4370;13;0
"NBA Analysis Network";"2025-11-15";81073;6878;66;17;24;7023;24;0
"NFL Analysis Network";"2025-11-15";3;0;0;0;0;0;0;0
"Alternet";"2025-11-15";10593;2174;38;1;18;2113;11;0
"Stocktwits";"2025-11-15";21906;1356;49;1;8;1275;30;0
"On3.com";"2025-11-15";970072;51333;561;63;86;49100;246;0
"East Idaho News";"2025-11-15";11;3;0;0;0;3;0;0
"Check Your Fact";"2025-11-15";0;0;0;0;0;0;0;0
"DPA";"2025-11-15";50107;2555;587;7;52;2487;43;0
"Raw Story";"2025-11-15";2158460;386306;14458;162;6132;382334;3414;0
"Fangoria";"2025-11-15";1786;68;3;0;2;69;0;0
"HITC";"2025-11-16";0;0;0;0;0;0;0;0
"TAG24";"2025-11-16";163377;23031;998;62;853;22966;156;0
"Bloody Elbow";"2025-11-16";367304;24781;390;42;52;24507;76;0
"Cointelegraph";"2025-11-16";30106;2320;18;9;25;2305;23;0
"France24";"2025-11-16";286588;7961;675;19;196;8791;153;0
"NBA Analysis Network";"2025-11-16";82162;7591;71;15;20;7635;22;0
"NFL Analysis Network";"2025-11-16";1;0;0;0;0;0;0;0
"Alternet";"2025-11-16";14512;3010;12;1;19;2954;15;0
"Stocktwits";"2025-11-16";13769;822;56;2;6;784;26;0
"On3.com";"2025-11-16";1072851;60377;671;70;133;58132;251;0
"East Idaho News";"2025-11-16";5;1;0;0;0;0;0;0
"Check Your Fact";"2025-11-16";0;0;0;0;0;0;0;0
"DPA";"2025-11-16";53484;2929;1035;1;103;2862;51;0
"Raw Story";"2025-11-16";2031332;412461;12984;176;5111;410382;2921;0
"Fangoria";"2025-11-16";663;8;1;0;0;8;0;0
"HITC";"2025-11-17";0;0;0;0;0;0;0;0
"TAG24";"2025-11-17";217358;18855;1344;66;579;18109;117;0
"Bloody Elbow";"2025-11-17";182131;15101;180;31;34;14898;21;0
"Cointelegraph";"2025-11-17";16038;698;22;3;17;687;11;0
"France24";"2025-11-17";80530;3187;389;11;86;3799;178;0
"NBA Analysis Network";"2025-11-17";94779;7605;79;16;23;7770;23;0
"NFL Analysis Network";"2025-11-17";2;1;0;0;0;1;0;0
"Alternet";"2025-11-17";12217;2598;13;2;9;2490;13;0
"Stocktwits";"2025-11-17";111028;8623;145;10;28;8377;45;0
"On3.com";"2025-11-17";755224;40549;502;31;90;40074;194;0
"East Idaho News";"2025-11-17";3;2;0;0;0;1;0;0
"Check Your Fact";"2025-11-17";0;0;0;0;0;0;0;0
"DPA";"2025-11-17";63841;3724;731;12;65;3639;46;0
"Raw Story";"2025-11-17";2417514;455390;13802;169;5197;451650;4033;0
"Fangoria";"2025-11-17";126176;2420;18;9;3;2351;38;0
"HITC";"2025-11-18";0;0;0;0;0;0;0;0
"TAG24";"2025-11-18";356211;38608;1171;137;612;38226;212;0
"Bloody Elbow";"2025-11-18";108926;11584;117;24;36;11450;20;0
"Cointelegraph";"2025-11-18";10723;627;28;2;10;606;4;0
"France24";"2025-11-18";10554;515;57;3;18;587;10;0
"NBA Analysis Network";"2025-11-18";37020;2597;35;5;6;2565;7;0
"NFL Analysis Network";"2025-11-18";2513;78;1;0;1;81;1;0
"Alternet";"2025-11-18";7142;1594;5;0;10;1516;3;0
"Stocktwits";"2025-11-18";174477;20688;397;7;361;20767;64;0
"On3.com";"2025-11-18";679852;41831;525;30;126;40816;181;0
"East Idaho News";"2025-11-18";5;2;0;0;0;0;0;0
"Nordot Test";"2025-11-18";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-11-18";0;0;0;0;0;0;0;0
"DPA";"2025-11-18";58024;3578;453;8;56;3476;78;0
"Raw Story";"2025-11-18";4106686;516413;11017;229;5755;512360;4021;0
"Fangoria";"2025-11-18";2601;178;11;1;4;173;1;0
"HITC";"2025-11-19";0;0;0;0;0;0;0;0
"TAG24";"2025-11-19";613307;57539;2619;180;1336;56826;411;0
"Bloody Elbow";"2025-11-19";132094;10048;104;26;61;10091;12;0
"Cointelegraph";"2025-11-19";20040;889;225;7;38;868;30;0
"France24";"2025-11-19";87991;1282;519;4;42;1323;26;0
"NBA Analysis Network";"2025-11-19";33030;2975;32;5;12;2925;5;0
"NFL Analysis Network";"2025-11-19";1779;41;3;0;3;42;0;0
"Alternet";"2025-11-19";239304;38665;2404;52;674;38092;429;0
"Stocktwits";"2025-11-19";160868;17863;1031;24;352;17635;438;0
"On3.com";"2025-11-19";832580;56092;588;50;224;54963;311;0
"East Idaho News";"2025-11-19";33744;1511;21;0;5;365;5;0
"Nordot Test";"2025-11-19";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-11-19";0;0;0;0;0;0;0;0
"DPA";"2025-11-19";45965;3022;758;10;82;2843;35;0
"Raw Story";"2025-11-19";2761334;537187;19549;219;6723;533733;4419;0
"Fangoria";"2025-11-19";6172;82;8;1;0;83;0;0
"HITC";"2025-11-20";0;0;0;0;0;0;0;0
"TAG24";"2025-11-20";423848;42550;2134;124;1213;42233;330;0
"Bloody Elbow";"2025-11-20";148462;15198;158;24;59;15185;26;0
"Cointelegraph";"2025-11-20";19730;1645;125;12;27;1609;57;0
"France24";"2025-11-20";51645;3503;361;9;57;3849;20;0
"NBA Analysis Network";"2025-11-20";41146;3647;50;11;11;3632;17;0
"NFL Analysis Network";"2025-11-20";3850;76;4;1;4;76;1;0
"Alternet";"2025-11-20";1278456;182922;7052;167;3027;180653;1683;0
"Stocktwits";"2025-11-20";74633;7978;412;13;111;7749;245;0
"On3.com";"2025-11-20";868886;58324;645;49;338;56379;398;0
"East Idaho News";"2025-11-20";15815;660;20;2;1;627;3;0
"Nordot Test";"2025-11-20";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-11-20";0;0;0;0;0;0;0;0
"DPA";"2025-11-20";46442;2213;483;15;47;2049;65;0
"Raw Story";"2025-11-20";2189556;401139;14912;200;6306;397751;5513;0
"Fangoria";"2025-11-20";43234;344;12;2;1;333;1;0
"HITC";"2025-11-21";0;0;0;0;0;0;0;0
"TAG24";"2025-11-21";296330;29085;1540;86;671;28771;208;0
"Bloody Elbow";"2025-11-21";153823;15638;156;24;38;15527;44;0
"Cointelegraph";"2025-11-21";32105;2177;162;7;38;2139;38;0
"France24";"2025-11-21";251320;4793;290;17;52;4813;31;0
"NBA Analysis Network";"2025-11-21";58389;6185;65;9;14;6155;12;0
"NFL Analysis Network";"2025-11-21";2816;88;5;0;7;86;0;0
"Alternet";"2025-11-21";1553846;203330;8781;216;4359;200064;2647;0
"Stocktwits";"2025-11-21";52938;4100;184;7;40;3922;87;0
"On3.com";"2025-11-21";1109010;74528;656;75;178;72523;314;0
"East Idaho News";"2025-11-21";381023;23170;153;41;429;22648;421;0
"Nordot Test";"2025-11-21";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-11-21";0;0;0;0;0;0;0;0
"DPA";"2025-11-21";61807;3559;1464;4;164;3406;134;0
"Raw Story";"2025-11-21";4970343;752180;18883;444;12596;740837;9641;0
"Fangoria";"2025-11-21";33102;1022;36;12;2;1116;6;0
"HITC";"2025-11-22";0;0;0;0;0;0;0;0
"TAG24";"2025-11-22";545974;60874;1595;126;931;60073;321;0
"Bloody Elbow";"2025-11-22";229499;18592;177;43;39;18403;35;0
"Cointelegraph";"2025-11-22";19479;1604;41;3;13;1582;20;0
"France24";"2025-11-22";199636;4149;706;16;73;4983;67;0
"NBA Analysis Network";"2025-11-22";150201;13040;257;41;40;12995;60;0
"NFL Analysis Network";"2025-11-22";829;33;4;0;2;31;0;0
"Alternet";"2025-11-22";889165;139579;9355;187;3815;138180;1857;0
"Stocktwits";"2025-11-22";38639;2844;146;2;14;2621;49;0
"On3.com";"2025-11-22";1244921;76592;727;81;181;74358;383;0
"East Idaho News";"2025-11-22";175265;6910;70;8;44;6628;64;0
"Nordot Test";"2025-11-22";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-11-22";0;0;0;0;0;0;0;0
"DPA";"2025-11-22";88833;6976;2166;12;225;6784;106;0
"Raw Story";"2025-11-22";3686272;570950;14329;363;9051;561651;5482;0
"Fangoria";"2025-11-22";11945;750;44;6;6;761;5;0
"HITC";"2025-11-23";0;0;0;0;0;0;0;0
"TAG24";"2025-11-23";1868388;216110;2288;462;1712;213150;573;0
"Bloody Elbow";"2025-11-23";214226;21578;144;63;24;21466;16;0
"Cointelegraph";"2025-11-23";17326;1188;29;3;14;1143;24;0
"France24";"2025-11-23";279403;6250;507;14;47;7149;79;0
"NBA Analysis Network";"2025-11-23";106992;9170;109;30;25;9093;41;0
"NFL Analysis Network";"2025-11-23";1720;89;12;2;7;90;2;0
"Alternet";"2025-11-23";1511595;219310;6921;216;2976;217979;1998;0
"Stocktwits";"2025-11-23";21114;1353;42;1;2;1216;17;0
"On3.com";"2025-11-23";1116067;62817;784;80;217;61043;302;0
"East Idaho News";"2025-11-23";107229;5160;113;13;22;4918;54;0
"Nordot Test";"2025-11-23";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-11-23";1;0;0;0;0;0;0;0
"DPA";"2025-11-23";138111;14191;1870;43;468;13866;360;0
"Raw Story";"2025-11-23";2194831;424527;11237;208;6417;415830;4003;0
"Fangoria";"2025-11-23";6573;340;18;4;2;393;9;0
"HITC";"2025-11-24";0;0;0;0;0;0;0;0
"TAG24";"2025-11-24";304195;43134;1216;98;450;40454;147;0
"Bloody Elbow";"2025-11-24";206978;21879;173;62;26;21883;36;0
"Cointelegraph";"2025-11-24";26612;1115;33;5;15;1192;27;0
"France24";"2025-11-24";118652;1878;436;10;94;2024;14;0
"NBA Analysis Network";"2025-11-24";71450;9449;63;19;18;9381;22;0
"NFL Analysis Network";"2025-11-24";11834;1364;19;3;8;1395;9;0
"Alternet";"2025-11-24";1295375;196298;10311;196;3691;191890;2090;0
"Stocktwits";"2025-11-24";206427;7723;148;19;55;7590;87;0
"On3.com";"2025-11-24";1201537;63420;903;62;204;65120;365;0
"East Idaho News";"2025-11-24";61711;2879;108;14;28;2735;48;0
"Nordot Test";"2025-11-24";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-11-24";0;0;0;0;0;0;0;0
"DPA";"2025-11-24";73420;5852;1379;24;217;5650;135;0
"Raw Story";"2025-11-24";2755261;517062;17226;215;7718;512739;4138;0
"Fangoria";"2025-11-24";5269;139;15;1;2;142;6;0
"HITC";"2025-11-25";0;0;0;0;0;0;0;0
"TAG24";"2025-11-25";456468;60120;1481;149;374;59463;209;0
"Bloody Elbow";"2025-11-25";264562;29219;189;90;78;28928;68;0
"Cointelegraph";"2025-11-25";15232;694;16;4;6;711;18;0
"France24";"2025-11-25";40770;1072;402;8;44;809;14;0
"NBA Analysis Network";"2025-11-25";118110;17014;90;27;17;16953;33;0
"NFL Analysis Network";"2025-11-25";6139;708;14;3;6;704;1;0
"Alternet";"2025-11-25";956241;146399;9627;155;4348;142646;2139;0
"Stocktwits";"2025-11-25";70346;7392;220;10;90;7283;53;0
"On3.com";"2025-11-25";916901;79379;763;66;157;77150;262;0
"East Idaho News";"2025-11-25";85063;4210;99;11;20;4048;33;0
"Nordot Test";"2025-11-25";0;0;0;0;0;0;0;0
"Check Your Fact";"2025-11-25";0;0;0;0;0;0;0;0
"DPA";"2025-11-25";101012;10350;949;29;98;10172;115;0
"Raw Story";"2025-11-25";3494027;459119;12232;221;4873;447403;3549;0
"Fangoria";"2025-11-25";44739;493;5;2;1;755;2;0
"HITC";"2025-11-26";79082;2938;46;10;9;2928;23;0
"TAG24";"2025-11-26";341714;35315;2853;111;354;34910;245;0
"Bloody Elbow";"2025-11-26";177820;21543;163;45;40;21395;41;0
"Cointelegraph";"2025-11-26";56054;930;103;4;8;1078;4;0
"France24";"2025-11-26";103614;1232;245;5;26;1542;18;0
"NBA Analysis Network";"2025-11-26";98864;10854;64;19;20;10758;29;0
"NFL Analysis Network";"2025-11-26";2582;415;3;2;17;410;1;0
