"publisher";"month_date";"impressions";"pageviews";"shares";"engagement_rate";"ctr";"share_rate";"follower_conversion_rate"
"Cointelegraph";"2025-11-01";651603.0;27705.0;458.0;0.003;0.0425;0.0007;0.0
"France24";"2025-11-01";8198718.0;169193.0;1324.0;0.0015;0.0206;0.0002;0.0
"NBA Analysis Network";"2025-11-01";3205656.0;332856.0;779.0;0.0013;0.1038;0.0002;0.0
"NFL Analysis Network";"2025-11-01";38390.0;3148.0;16.0;0.0042;0.082;0.0004;0.0
"Alternet";"2025-11-01";26919504.0;3883465.0;46802.0;0.0112;0.1443;0.0017;0.0
"Stocktwits";"2025-11-01";3585999.0;327711.0;3326.0;0.0049;0.0914;0.0009;0.0
"On3.com";"2025-11-01";28598289.0;1805566.0;8683.0;0.0012;0.0631;0.0003;0.0
"East Idaho News";"2025-11-01";1525265.0;75331.0;899.0;0.002;0.0494;0.0006;0.0
"Check Your Fact";"2025-11-01";6.0;1.0;0.0;0.0;0.1667;0.0;0.0
"DPA";"2025-11-01";10047603.0;552347.0;7673.0;0.0055;0.055;0.0008;0.0
"Raw Story";"2025-11-01";102677633.0;15948776.0;144892.0;0.0079;0.1553;0.0014;0.0
"Fangoria";"2025-11-01";402093.0;8838.0;125.0;0.0016;0.022;0.0003;0.0
"HITC";"2025-11-01";429918.0;58078.0;186.0;0.0031;0.1351;0.0004;0.0
"Nordot Test";"2025-11-01";0.0;0.0;0.0;0.0;0.0;0.0;0.0
"HITC";"2025-12-01";471368.0;44131.0;152.0;0.002;0.0936;0.0003;0.0
"TAG24";"2025-12-01";4183058.0;487732.0;3875.0;0.0064;0.1166;0.0009;0.0
"Bloody Elbow";"2025-12-01";1773097.0;135366.0;342.0;0.0016;0.0763;0.0002;0.0
"Cointelegraph";"2025-12-01";216474.0;8794.0;112.0;0.0043;0.0406;0.0005;0.0
"France24";"2025-12-01";2478607.0;35371.0;284.0;0.0018;0.0143;0.0001;0.0
"NBA Analysis Network";"2025-12-01";763841.0;85386.0;232.0;0.0016;0.1118;0.0003;0.0
"NFL Analysis Network";"2025-12-01";8306.0;677.0;4.0;0.0031;0.0815;0.0005;0.0
"Alternet";"2025-12-01";9016974.0;1116511.0;16058.0;0.0094;0.1238;0.0018;0.0
"Stocktwits";"2025-12-01";547561.0;51409.0;553.0;0.0062;0.0939;0.001;0.0
"On3.com";"2025-12-01";9831924.0;784955.0;3774.0;0.0016;0.0798;0.0004;0.0
"East Idaho News";"2025-12-01";1077552.0;55284.0;443.0;0.0017;0.0513;0.0004;0.0
"Nordot Test";"2025-12-01";0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Check Your Fact";"2025-12-01";0.0;0.0;0.0;0.0;0.0;0.0;0.0
"DPA";"2025-12-01";563013.0;38583.0;459.0;0.0183;0.0685;0.0008;0.0
"Raw Story";"2025-12-01";19806420.0;3337391.0;26947.0;0.0087;0.1685;0.0014;0.0
"Fangoria";"2025-12-01";169574.0;1884.0;12.0;0.0003;0.0111;0.0001;0.0
